day,date,open,high,low,close,volume
169,9/1/2020,119.5449,120.6154,118.8638,120.0801,3155341
170,9/2/2020,120.3915,125.2376,120.2504,124.7316,6579289
171,9/3/2020,124.7413,126.4539,120.3234,121.1019,5710795
172,9/4/2020,121.0046,121.9777,117.9783,119.0097,6015932
173,9/8/2020,118.8735,119.5644,117.4625,117.9491,5208929
174,9/9/2020,118.8443,120.3721,118.0269,118.9708,3770077
175,9/10/2020,119.2336,120.2518,117.0052,117.3166,3978335
176,9/11/2020,118.1242,119.399,117.482,118.1923,3547365
177,9/14/2020,119.0681,120.0607,118.4843,118.8054,3641495
178,9/15/2020,119.5158,120.0801,118.9514,119.146,2913694
179,9/16/2020,119.4087,122.435,119.4087,120.8781,3788163
180,9/17/2020,119.3211,122.1723,118.6886,121.5593,3170105
181,9/18/2020,120.917,121.5593,119.3503,119.4574,5389642
182,9/21/2020,117.2387,117.4528,115.3898,117.0149,5309774
183,9/22/2020,117.0927,118.1826,116.3143,117.2679,2956181
184,9/23/2020,117.5501,118.3188,115.2439,115.6331,3936585
185,9/24/2020,114.9227,116.2997,113.3463,114.913,3491657
186,9/25/2020,114.4362,116.1975,113.7939,115.7499,2896415
187,9/28/2020,117.3263,119.0389,117.1706,118.4551,3509261
188,9/29/2020,118.1437,118.8986,116.976,117.6863,2106594
189,9/30/2020,118.1145,119.6033,117.5501,118.3967,3260835
190,10/1/2020,119.0681,119.9828,117.1171,117.8323,3209072
191,10/2/2020,115.8374,118.4745,115.6234,117.3263,2924630
192,10/5/2020,118.5621,119.4476,117.7934,118.7275,3050546
193,10/6/2020,119.2822,121.4717,118.3188,118.6886,3870771
194,10/7/2020,119.3698,121.0435,119.0292,120.7321,2815364
195,10/8/2020,127.3395,131.8546,126.2788,127.9525,25269266
196,10/9/2020,128.4488,128.4488,124.1672,124.352,8346573
197,10/12/2020,124.6245,124.7997,123.0384,123.7876,4630916
198,10/13/2020,123.1649,123.7293,121.1116,121.7344,5404775
199,10/14/2020,121.7636,123.5249,121.7636,122.5518,3726898
200,10/15/2020,120.7419,121.8463,120.518,121.5301,3384991
201,10/16/2020,121.8025,123.0286,121.3014,122.5421,4710288
202,10/19/2020,123.3887,123.9239,121.715,122.1431,7358902
203,10/20/2020,116.577,116.9176,113.6966,114.2124,21479887
204,10/21/2020,113.5215,114.5237,111.7018,111.9645,9738538
205,10/22/2020,111.9061,112.9376,109.9405,112.6457,7855627
206,10/23/2020,113.3658,113.4826,112.4219,112.8792,3890044
207,10/26/2020,111.3709,111.8088,108.8312,109.2009,7200719
208,10/27/2020,109.1328,109.2009,107.0698,107.5856,5926668
209,10/28/2020,105.7367,106.7779,103.0704,103.7808,9422964
210,10/29/2020,104.3646,106.6903,103.6835,105.98,6747164
211,10/30/2020,104.9971,108.7922,104.8512,108.656,7921462
212,11/2/2020,109.6194,110.7642,109.2301,109.8724,5310374
213,11/3/2020,110.933,112.5386,110.573,111.0887,4195374
214,11/4/2020,109.308,110.8455,108.1694,108.8895,5794969
215,11/5/2020,110.2519,112.1883,109.9697,111.6823,4899353
216,11/6/2020,111.984,112.0034,110.3395,110.972,5242078
217,11/9/2020,116.3271,118.1626,113.7515,114.008,8984816
218,11/10/2020,115.1527,116.6132,114.7185,116.3567,5617527
219,11/11/2020,116.5639,116.7909,114.6889,115.656,4284389
220,11/12/2020,114.1067,114.837,111.985,112.9916,6498035
221,11/13/2020,113.6725,115.8238,113.4949,115.3106,4682566
222,11/16/2020,116.7415,116.9882,115.5771,116.8007,5292137
223,11/17/2020,116.0508,116.9784,115.5277,116.1494,4128581
224,11/18/2020,116.1692,117.3139,115.212,115.2317,4604863
225,11/19/2020,115.0047,115.9027,114.3633,115.6363,3436913
226,11/20/2020,116.0508,116.485,115.1527,115.3995,5024236
227,11/23/2020,115.883,118.9274,115.7251,118.508,5650174
228,11/24/2020,119.2678,123.0868,119.2135,122.7809,7752448
229,11/25/2020,121.3105,122.6921,120.5013,122.5638,4135373
230,11/27/2020,122.5638,123.6621,122.2776,122.7118,2091186
231,11/30/2020,122.4651,123.3533,121.4684,121.8928,5986183
232,12/1/2020,122.2678,124.1723,121.4586,121.5375,5309031
233,12/2/2020,121.2316,122.998,120.7974,122.9783,3688796
234,12/3/2020,122.5243,123.2151,121.6658,121.9816,4547495
235,12/4/2020,122.3368,125.7019,122.0112,125.5243,5520037
236,12/7/2020,124.8236,125.2973,122.9289,123.0572,8313456
